,bc_lb_rf0.2_sax0.5_poi80.0,bc_lb_rf0.45_sax0.75_poi80.0,bc_mb_rf0.175_sax0.5_poi80.0,bc_mb_rf0.3_sax0.75_poi80.0,bc_mb_rf0.5_sax1.0_poi80.0,lb_rf0.175_sax0.5_poi80.0,lb_rf0.35_sax0.75_poi80.0,mb_rf0.175_sax0.75_poi80.0
18305,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18306,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
18307,1.0,1.0,1.0,1.0,0.9130676631133277,1.0,1.0,1.0
18308,1.0,1.0906841348125536,1.0,0.9720212128767916,0.9727577338380264,1.0,1.0006094689771503,1.0
18309,1.0,0.21596343384118644,1.0,0.6960713947531723,0.4564798814572981,1.0,0.4496109636471948,1.065068067369186
18310,1.2321437039755683,1.277802027300453,1.2849496547891999,1.3341242194792002,1.3990687741442684,1.239079657211327,1.3137162042798813,1.591195468228765
18311,1.0,1.4129115708563766,1.0,1.0,1.5237092654281454,1.0,1.0,1.0
18312,1.0,0.2884049768899484,1.0,0.637876806246048,0.421036218145467,1.0,0.4265658802707559,0.8423001079177581
18313,0.9647625301576501,0.9427253959213591,0.8159356209431988,0.6335626864790656,0.5243129151995412,1.0240459662590267,1.0209805645175658,0.6929886132938861
18314,0.9238249499160172,1.24998430048666,1.026117222653669,1.2230479090577226,1.4617766268293195,0.8277016376601223,1.0089362040948773,0.8395801751520082
18315,1.1052956052892444,0.6746575467472624,1.2416282765634934,1.0032617642306683,0.7363578152074624,1.0936791989511412,0.7417073482626755,1.1939727057218192
18316,1.6879107166597933,2.338287858636665,1.593761463491588,2.1071965317746724,2.7132738433351697,1.6505594221276265,2.2167613750444524,1.748873226809927
18317,0.8021765941257613,0.1486067525262662,0.7220895134562326,0.04287221145839126,-0.6631448910311661,0.7222745803415371,0.02548723009428855,-0.10934385171651861
18318,1.388993973311929,1.5304756714666823,1.2376229690494478,1.2728488217837644,1.3664396866437656,1.3529661721456834,1.5371910866152856,1.360419517068994
18319,1.0237061062533632,1.2250930921157939,1.0771841130284736,1.2148805293119223,1.426272905283426,1.0505838054363341,1.2313537465640039,1.2073063868543978
18320,0.8767415778919041,0.29743438154690693,1.0379897420030462,0.636240557337441,0.29872667769240024,0.7897497689318689,0.18559992191712027,0.428776827340716
18321,1.0720706640175788,1.178684049866185,1.1279612811911557,1.2307564699763796,1.3551239395210342,1.0823561158444077,1.203079090834445,1.2294222828659498
18322,0.7149749576951772,0.8727198501275559,0.7098834240795062,0.8144300550995744,1.1103561412422351,0.7129242794159936,0.8155044381280803,0.6189108085142117
18323,0.9569906585279022,0.6790320357398585,0.7997823008086817,0.47869235443373537,0.0850574705894438,0.8156285591459032,0.47952720709698937,0.022748616451223835
